day,idx,date,count,tavg,prcp,snow,wspd,holiday,std dev
6,477,7/11/2025,29,76.8,0.988,0,7.6,,
7,478,7/12/2025,43,76.6,0,0,8.5,,
1,479,7/13/2025,32,75.9,0,0,5.3,,
2,480,7/14/2025,20,75.9,0,0,3.1,,
3,481,7/15/2025,11,80.2,0,0,5.8,,
4,482,7/16/2025,27,81.1,0.358,0,9.6,,
5,483,7/17/2025,15,70.3,0,0,10.5,,
6,484,7/18/2025,27,67.5,0,0,5.2,,
7,485,7/19/2025,35,75.9,0.189,0,7,,
1,486,7/20/2025,20,73.2,0,0,10.8,,
2,487,7/21/2025,12,72.1,0,0,8.7,,
3,488,7/22/2025,14,76.3,0,0,8.9,,
4,489,7/23/2025,31,81.3,0,0,11.4,,
5,490,7/24/2025,24,86,0.031,0,9.5,,
6,491,7/25/2025,21,78.8,0.012,0,6,,
7,492,7/26/2025,35,76.1,0.02,0,5.8,,
1,493,7/27/2025,31,79.9,0.039,0,3.4,,
2,494,7/28/2025,11,81.9,0.031,0,5.2,,
3,495,7/29/2025,4,82.4,0,0,6,,
4,496,7/30/2025,14,81.7,0.803,0,11.2,,
